theta,p_forced,q,y_rep
0.33128288,0.56886369,0.71169177,75.0
0.42037131,0.66440009,0.80547666,72.0
0.28894761,0.63019046,0.73704604,76.0
0.3599296,0.68293738,0.7970576,76.0
0.37719612,0.66100621,0.78887335,71.0
0.59615825,0.51943474,0.80592768,81.0
0.5688874,0.53073871,0.79769555,81.0
0.5749239,0.55967718,0.81282929,86.0
0.57419761,0.55611493,0.81099268,85.0
0.62717761,0.52486174,0.82285782,80.0
0.64203751,0.44409579,0.80100715,79.0
0.60747085,0.44479839,0.78206718,78.0
0.54561228,0.42471407,0.73859714,71.0
0.57813784,0.63161842,0.84459375,84.0
0.43015498,0.56065504,0.74964146,73.0
0.43743351,0.55396087,0.74907333,72.0
0.52115121,0.60437439,0.81055516,81.0
0.52912259,0.57624312,0.80046246,75.0
0.54211555,0.51296758,0.77699543,74.0
0.61198517,0.53496773,0.81956058,76.0
0.42672764,0.57147856,0.7543405,74.0
0.62345145,0.58992565,0.8455871,84.0
0.55828928,0.61049118,0.82794978,81.0
0.71682268,0.44597451,0.84311255,79.0
0.69700211,0.46151212,0.83683931,91.0
0.64998924,0.4410629,0.804366,83.0
0.63477821,0.46320232,0.80394979,79.0
0.66842048,0.5764226,0.85955041,89.0
0.67308028,0.58123008,0.86309586,88.0
0.30512773,0.56994675,0.70116793,68.0
0.30318219,0.58377196,0.70996489,72.0
0.45288733,0.59759086,0.77983686,76.0
0.55788147,0.55548464,0.80347152,79.0
0.41723533,0.54592614,0.7353818,79.0
0.42795316,0.56938844,0.75367002,78.0
0.44938032,0.57562515,0.76633086,75.0
0.51405877,0.55636056,0.7844173,72.0
0.56133583,0.53411888,0.79563464,78.0
0.55928578,0.54667459,0.80021305,81.0
0.52005734,0.4922057,0.75628785,77.0
0.46554047,0.56144894,0.76561221,74.0
0.48494967,0.54774194,0.76706433,82.0
0.57373991,0.50815158,0.79034465,77.0
0.6106299,0.48933775,0.80116339,75.0
0.61247955,0.50288784,0.80735887,81.0
0.66400187,0.41400865,0.803108,81.0
0.66243062,0.48411491,0.82585299,87.0
0.32965106,0.6066255,0.73630182,64.0
0.24850601,0.59701772,0.69716124,60.0
0.67109411,0.39176607,0.79994828,80.0
0.5675241,0.57894886,0.81790553,78.0
0.47400502,0.53081487,0.75321098,77.0
0.19951445,0.59747232,0.6777824,72.0
0.37880119,0.5070909,0.69380546,69.0
0.45255003,0.63195144,0.79851183,78.0
0.69812978,0.39778771,0.81821004,76.0
0.65292925,0.4642455,0.81405529,77.0
0.51615654,0.53432857,0.77468792,75.0
0.55281178,0.53935232,0.79400378,71.0
0.57182385,0.4884595,0.78097056,73.0
0.55834428,0.49014456,0.77481943,74.0
0.62933939,0.44514632,0.7943376,81.0
0.55430458,0.4640781,0.76114206,79.0
0.62211531,0.53528916,0.82439289,85.0
0.56950887,0.59943863,0.82756188,85.0
0.5642445,0.54755312,0.80284378,83.0
0.43339919,0.51243933,0.72374773,66.0
0.73681471,0.44281328,0.85335665,90.0
0.75610496,0.42361584,0.85942276,90.0
0.74757466,0.43305325,0.85688827,85.0
0.26028873,0.67527922,0.75980038,73.0
0.156262,0.72013318,0.76386573,71.0
0.22034285,0.69927194,0.76553522,79.0
0.79286523,0.44096734,0.8842049,88.0
0.53922176,0.43163768,0.73811101,77.0
0.53728915,0.4196078,0.73144624,73.0
0.45115408,0.47242736,0.71044391,63.0
0.5294658,0.44885274,0.74066636,81.0
0.5497227,0.4782098,0.76504972,81.0
0.7092935,0.46256887,0.84376528,91.0
0.63118904,0.38230005,0.77218549,78.0
0.68534319,0.48935849,0.83932317,80.0
0.44716896,0.55164412,0.75213496,70.0
0.4451535,0.5518171,0.75132729,74.0
0.48308644,0.5619492,0.7735656,79.0
0.61596277,0.51126196,0.8123064,88.0
0.65612565,0.41266123,0.79802926,83.0
0.6594639,0.4512433,0.81312853,80.0
0.52995217,0.44654313,0.7398488,73.0
0.44595065,0.49061868,0.71777761,81.0
0.46048621,0.50656515,0.73378509,73.0
0.5912665,0.50399837,0.79726751,80.0
0.67601695,0.55915459,0.85717356,83.0
0.63775039,0.45754726,0.80349671,83.0
0.50641862,0.51728525,0.76174099,75.0
0.56723453,0.54657532,0.80377346,86.0
0.57834796,0.53224158,0.80276871,86.0
0.65997884,0.5271067,0.83920627,81.0
0.60620541,0.54616334,0.82128158,84.0
0.64752488,0.54439191,0.83940949,80.0
0.51502133,0.40833878,0.71305693,73.0
0.49843667,0.38021589,0.68913902,68.0
0.47425739,0.42105253,0.69562265,73.0
0.73880086,0.48359397,0.86511519,92.0
0.52062298,0.55991328,0.78903254,82.0
0.57932995,0.50068992,0.78995521,77.0
0.47130961,0.58152357,0.77875553,81.0
0.63857332,0.51270162,0.82387737,88.0
0.52913787,0.67191747,0.84551836,81.0
0.5315817,0.67995261,0.85008395,86.0
0.72468962,0.5341462,0.87174561,86.0
0.64502973,0.48265746,0.81635878,87.0
0.68642969,0.53148795,0.85308853,82.0
0.650239,0.52440195,0.83365435,83.0
0.58924719,0.57174768,0.82409416,79.0
0.62240315,0.41109474,0.77763123,77.0
0.71926501,0.42261973,0.83790916,88.0
0.69789982,0.43561614,0.82949953,77.0
0.62014056,0.38108397,0.76489891,70.0
0.63364694,0.38316581,0.77402091,81.0
0.39066351,0.59878028,0.75552218,75.0
0.38524047,0.59694392,0.75221743,78.0
0.66182763,0.3847523,0.79194023,85.0
0.68329605,0.42830412,0.81894166,84.0
0.46737546,0.59559105,0.78460187,78.0
0.52700926,0.54335534,0.7840113,77.0
0.58788475,0.5186753,0.80163875,72.0
0.59206494,0.49237854,0.79292341,84.0
0.66852837,0.48650574,0.82979122,82.0
0.61883275,0.4170411,0.77779516,81.0
0.6527799,0.44590822,0.8076082,76.0
0.51166366,0.48815393,0.75004696,68.0
0.50459613,0.51355876,0.75901512,76.0
0.52306169,0.47916628,0.75159444,74.0
