theta,q,theta_via_q,y_rep
0.65403516,0.82701758,0.65403516,78.0
0.66623382,0.83311691,0.66623382,85.0
0.55815259,0.77907629,0.55815259,76.0
0.64543059,0.8227153,0.64543059,82.0
0.63841814,0.81920907,0.63841814,83.0
0.64819135,0.82409568,0.64819135,84.0
0.6091797,0.80458985,0.6091797,80.0
0.6539109,0.82695545,0.6539109,92.0
0.68380035,0.84190018,0.68380035,81.0
0.69789203,0.84894602,0.69789203,85.0
0.68254672,0.84127336,0.68254672,83.0
0.58930281,0.79465141,0.58930281,84.0
0.62375076,0.81187538,0.62375076,77.0
0.61568297,0.80784149,0.61568297,82.0
0.50015413,0.75007707,0.50015413,76.0
0.48780944,0.74390472,0.48780944,82.0
0.54788098,0.77394049,0.54788098,74.0
0.60597344,0.80298672,0.60597344,85.0
0.62719404,0.81359702,0.62719404,76.0
0.51027062,0.75513531,0.51027062,80.0
0.57486358,0.78743179,0.57486358,82.0
0.6025313,0.80126565,0.6025313,85.0
0.60699916,0.80349958,0.60699916,74.0
0.59408346,0.79704173,0.59408346,75.0
0.66791085,0.83395543,0.66791085,78.0
0.57265695,0.78632848,0.57265695,77.0
0.59275477,0.79637739,0.59275477,82.0
0.59275477,0.79637739,0.59275477,74.0
0.45809215,0.72904608,0.45809215,77.0
0.66338584,0.83169292,0.66338584,89.0
0.68363366,0.84181683,0.68363366,84.0
0.66932375,0.83466188,0.66932375,79.0
0.66350988,0.83175494,0.66350988,82.0
0.58062666,0.79031333,0.58062666,80.0
0.55464254,0.77732127,0.55464254,76.0
0.45799226,0.72899613,0.45799226,75.0
0.51891432,0.75945716,0.51891432,76.0
0.68396712,0.84198356,0.68396712,83.0
0.58995206,0.79497603,0.58995206,74.0
0.53557637,0.76778818,0.53557637,75.0
0.53204251,0.76602126,0.53204251,76.0
0.50186641,0.75093321,0.50186641,79.0
0.63258039,0.81629019,0.63258039,74.0
0.64329292,0.82164646,0.64329292,85.0
0.59514855,0.79757427,0.59514855,75.0
0.50450266,0.75225133,0.50450266,72.0
0.47473428,0.73736714,0.47473428,74.0
0.44327055,0.72163527,0.44327055,74.0
0.41292823,0.70646412,0.41292823,66.0
0.52250686,0.76125343,0.52250686,78.0
0.53311318,0.76655659,0.53311318,83.0
0.64004424,0.82002212,0.64004424,80.0
0.59818393,0.79909196,0.59818393,82.0
0.58507399,0.79253699,0.58507399,77.0
0.66476248,0.83238124,0.66476248,82.0
0.66586321,0.8329316,0.66586321,83.0
0.48976342,0.74488171,0.48976342,83.0
0.59955037,0.79977518,0.59955037,74.0
0.59331464,0.79665732,0.59331464,82.0
0.60743976,0.80371988,0.60743976,77.0
0.60447946,0.80223973,0.60447946,83.0
0.62652394,0.81326197,0.62652394,83.0
0.57956655,0.78978328,0.57956655,79.0
0.64061032,0.82030516,0.64061032,85.0
0.61145352,0.80572676,0.61145352,77.0
0.56812833,0.78406417,0.56812833,84.0
0.64402743,0.82201372,0.64402743,77.0
0.55816726,0.77908363,0.55816726,76.0
0.68582396,0.84291198,0.68582396,88.0
0.70312892,0.85156446,0.70312892,80.0
0.70528594,0.85264297,0.70528594,78.0
0.71801797,0.85900899,0.71801797,87.0
0.70198236,0.85099118,0.70198236,84.0
0.61644451,0.80822226,0.61644451,90.0
0.49481571,0.74740786,0.49481571,78.0
0.61487257,0.80743629,0.61487257,82.0
0.55862957,0.77931478,0.55862957,84.0
0.72226083,0.86113041,0.72226083,86.0
0.66951174,0.83475587,0.66951174,85.0
0.67168744,0.83584372,0.67168744,81.0
0.68214741,0.8410737,0.68214741,86.0
0.68216373,0.84108187,0.68216373,82.0
0.60612898,0.80306449,0.60612898,83.0
0.59961201,0.79980601,0.59961201,74.0
0.57817039,0.7890852,0.57817039,76.0
0.52192224,0.76096112,0.52192224,81.0
0.50093382,0.75046691,0.50093382,74.0
0.52808987,0.76404494,0.52808987,80.0
0.60541414,0.80270707,0.60541414,83.0
0.60541414,0.80270707,0.60541414,79.0
0.60137362,0.80068681,0.60137362,80.0
0.59168579,0.7958429,0.59168579,81.0
0.59111181,0.79555591,0.59111181,82.0
0.64196422,0.82098211,0.64196422,77.0
0.71615662,0.85807831,0.71615662,88.0
0.71615662,0.85807831,0.71615662,87.0
0.69410077,0.84705039,0.69410077,83.0
0.67650939,0.8382547,0.67650939,83.0
0.54785414,0.77392707,0.54785414,68.0
0.62894122,0.81447061,0.62894122,77.0
0.60053636,0.80026818,0.60053636,78.0
0.58875142,0.79437571,0.58875142,77.0
0.60371594,0.80185797,0.60371594,75.0
0.64331992,0.82165996,0.64331992,81.0
0.64216488,0.82108244,0.64216488,83.0
0.64335993,0.82167996,0.64335993,84.0
0.62807131,0.81403565,0.62807131,83.0
0.59669226,0.79834613,0.59669226,77.0
0.52412705,0.76206353,0.52412705,74.0
0.6003275,0.80016375,0.6003275,80.0
0.53514713,0.76757357,0.53514713,80.0
0.55154695,0.77577347,0.55154695,78.0
0.6041193,0.80205965,0.6041193,79.0
0.55769388,0.77884694,0.55769388,81.0
0.62768185,0.81384092,0.62768185,91.0
0.62678149,0.81339075,0.62678149,79.0
0.56336544,0.78168272,0.56336544,77.0
0.54676277,0.77338138,0.54676277,80.0
0.62086212,0.81043106,0.62086212,88.0
0.64676068,0.82338034,0.64676068,82.0
0.67027195,0.83513597,0.67027195,84.0
0.66535818,0.83267909,0.66535818,90.0
0.38530618,0.69265309,0.38530618,65.0
0.36962531,0.68481265,0.36962531,68.0
0.56013654,0.78006827,0.56013654,78.0
0.67502385,0.83751192,0.67502385,83.0
0.53713932,0.76856966,0.53713932,79.0
0.54050096,0.77025048,0.54050096,80.0
0.52963245,0.76481623,0.52963245,81.0
0.5098506,0.7549253,0.5098506,76.0
0.57573843,0.78786921,0.57573843,76.0
0.63328069,0.81664035,0.63328069,79.0
0.62766936,0.81383468,0.62766936,85.0
0.62839015,0.81419507,0.62839015,86.0
0.63951645,0.81975822,0.63951645,83.0
0.73318083,0.86659041,0.73318083,82.0
0.6997561,0.84987805,0.6997561,86.0
0.70738071,0.85369035,0.70738071,82.0
0.68999016,0.84499508,0.68999016,78.0
0.68559514,0.84279757,0.68559514,87.0
0.53732219,0.76866109,0.53732219,79.0
0.58903499,0.79451749,0.58903499,80.0
0.60152596,0.80076298,0.60152596,81.0
0.60319309,0.80159654,0.60319309,83.0
0.57697573,0.78848786,0.57697573,77.0
0.58854782,0.79427391,0.58854782,79.0
0.66282306,0.83141153,0.66282306,85.0
0.58825007,0.79412504,0.58825007,77.0
0.53449429,0.76724714,0.53449429,77.0
0.62546174,0.81273087,0.62546174,77.0
0.58342034,0.79171017,0.58342034,69.0
0.60981515,0.80490758,0.60981515,78.0
0.60854035,0.80427017,0.60854035,89.0
0.58918186,0.79459093,0.58918186,77.0
0.55431953,0.77715976,0.55431953,78.0
0.62315181,0.81157591,0.62315181,79.0
0.54519927,0.77259964,0.54519927,76.0
0.66379565,0.83189783,0.66379565,84.0
0.60281823,0.80140912,0.60281823,79.0
0.62982045,0.81491022,0.62982045,80.0
0.77650274,0.88825137,0.77650274,91.0
0.58474185,0.79237092,0.58474185,83.0
0.61311818,0.80655909,0.61311818,68.0
0.51076415,0.75538207,0.51076415,80.0
0.59947792,0.79973896,0.59947792,83.0
0.60305201,0.801526,0.60305201,89.0
0.57801226,0.78900613,0.57801226,80.0
0.6081592,0.8040796,0.6081592,82.0
0.57913155,0.78956577,0.57913155,69.0
0.59838717,0.79919358,0.59838717,82.0
0.55958277,0.77979138,0.55958277,75.0
0.5741979,0.78709895,0.5741979,76.0
0.56825113,0.78412557,0.56825113,68.0
0.26267552,0.63133776,0.26267552,62.0
0.30941121,0.6547056,0.30941121,72.0
0.49074878,0.74537439,0.49074878,78.0
0.57287265,0.78643633,0.57287265,88.0
0.67271981,0.8363599,0.67271981,85.0
0.513307,0.7566535,0.513307,68.0
0.6103732,0.8051866,0.6103732,78.0
0.65746033,0.82873016,0.65746033,85.0
0.56702694,0.78351347,0.56702694,74.0
0.60032474,0.80016237,0.60032474,83.0
0.57725268,0.78862634,0.57725268,82.0
0.5637374,0.7818687,0.5637374,77.0
0.55361396,0.77680698,0.55361396,69.0
0.61733232,0.80866616,0.61733232,75.0
0.53889119,0.76944559,0.53889119,77.0
0.61267153,0.80633577,0.61267153,82.0
0.63937622,0.81968811,0.63937622,78.0
0.65913148,0.82956574,0.65913148,83.0
0.55175832,0.77587916,0.55175832,79.0
0.52215776,0.76107888,0.52215776,78.0
0.55239527,0.77619763,0.55239527,75.0
0.51933852,0.75966926,0.51933852,73.0
0.64561401,0.82280701,0.64561401,83.0
0.64000969,0.82000485,0.64000969,86.0
0.55396467,0.77698234,0.55396467,76.0
0.59112862,0.79556431,0.59112862,75.0
0.6101063,0.80505315,0.6101063,80.0
0.49311826,0.74655913,0.49311826,79.0
0.65337167,0.82668584,0.65337167,84.0
0.63652727,0.81826363,0.63652727,84.0
0.61856649,0.80928325,0.61856649,87.0
0.59974061,0.79987031,0.59974061,76.0
0.63158039,0.8157902,0.63158039,85.0
0.6478729,0.82393645,0.6478729,88.0
0.65538476,0.82769238,0.65538476,81.0
0.6390132,0.8195066,0.6390132,77.0
0.63213529,0.81606765,0.63213529,83.0
0.59676924,0.79838462,0.59676924,75.0
0.65211579,0.82605789,0.65211579,86.0
0.64337024,0.82168512,0.64337024,84.0
0.62780951,0.81390476,0.62780951,80.0
0.55199339,0.77599669,0.55199339,80.0
0.5513748,0.7756874,0.5513748,85.0
0.55651175,0.77825587,0.55651175,82.0
0.5627649,0.78138245,0.5627649,75.0
0.56894518,0.78447259,0.56894518,69.0
0.6279109,0.81395545,0.6279109,75.0
0.58702655,0.79351327,0.58702655,75.0
0.58779362,0.79389681,0.58779362,80.0
0.51588342,0.75794171,0.51588342,75.0
0.5185255,0.75926275,0.5185255,78.0
0.66840145,0.83420073,0.66840145,83.0
0.5287055,0.76435275,0.5287055,79.0
0.47672187,0.73836093,0.47672187,73.0
0.63044792,0.81522396,0.63044792,82.0
0.58784104,0.79392052,0.58784104,83.0
0.63464722,0.81732361,0.63464722,79.0
0.67116498,0.83558249,0.67116498,85.0
0.55316303,0.77658151,0.55316303,85.0
0.69603989,0.84801994,0.69603989,85.0
0.6085385,0.80426925,0.6085385,83.0
0.5240761,0.76203805,0.5240761,76.0
0.62724585,0.81362292,0.62724585,73.0
0.5398917,0.76994585,0.5398917,80.0
0.53178599,0.76589299,0.53178599,75.0
0.64540563,0.82270281,0.64540563,85.0
0.62494646,0.81247323,0.62494646,86.0
0.62389673,0.81194837,0.62389673,81.0
0.58503317,0.79251659,0.58503317,83.0
0.66920265,0.83460133,0.66920265,87.0
0.655067,0.8275335,0.655067,80.0
0.61626883,0.80813441,0.61626883,82.0
0.61207128,0.80603564,0.61207128,85.0
0.62833101,0.8141655,0.62833101,83.0
0.55513255,0.77756627,0.55513255,72.0
0.54746491,0.77373245,0.54746491,77.0
0.55219507,0.77609754,0.55219507,78.0
0.71464229,0.85732114,0.71464229,81.0
0.58722579,0.7936129,0.58722579,82.0
0.44060897,0.72030449,0.44060897,68.0
