theta,q,y_rep
0.60877338,0.80438669,78.0
0.69597858,0.84798929,81.0
0.69932205,0.84966103,92.0
0.61066985,0.80533492,76.0
0.56192603,0.78096302,82.0
0.65979321,0.8298966,89.0
0.67207867,0.83603934,86.0
0.65572403,0.82786201,85.0
0.45979358,0.72989679,76.0
0.57530328,0.78765164,70.0
0.54481806,0.77240903,77.0
0.55994447,0.77997223,77.0
0.6588965,0.82944825,76.0
0.66513934,0.83256967,86.0
0.67837978,0.83918989,90.0
0.6085168,0.8042584,85.0
0.58758306,0.79379153,77.0
0.64037572,0.82018786,79.0
0.516995,0.7584975,75.0
0.59959257,0.79979629,78.0
0.57885209,0.78942605,79.0
0.62821463,0.81410732,79.0
0.57385146,0.78692573,78.0
0.72554553,0.86277276,87.0
0.4540888,0.7270444,68.0
0.44880568,0.72440284,70.0
0.56429195,0.78214598,84.0
0.67747066,0.83873533,83.0
0.6694729,0.83473645,82.0
0.67734752,0.83867376,88.0
0.55803707,0.77901853,80.0
0.55232544,0.77616272,66.0
0.53906034,0.76953017,71.0
0.55060666,0.77530333,82.0
0.63850538,0.81925269,82.0
0.41591755,0.70795878,78.0
0.41467577,0.70733788,67.0
0.42089824,0.71044912,71.0
0.40429556,0.70214778,71.0
0.66661603,0.83330802,82.0
0.53992947,0.76996473,77.0
0.69938768,0.84969384,85.0
0.58796032,0.79398016,87.0
0.57189279,0.7859464,76.0
0.59260887,0.79630444,84.0
0.59260887,0.79630444,79.0
0.72289264,0.86144632,84.0
0.49835606,0.74917803,73.0
0.51728042,0.75864021,71.0
0.57465666,0.78732833,84.0
0.59979357,0.79989678,79.0
0.65444214,0.82722107,83.0
0.65444214,0.82722107,89.0
0.74779419,0.87389709,92.0
0.76050317,0.88025159,89.0
0.71705444,0.85852722,82.0
0.69922347,0.84961174,84.0
0.72851756,0.86425878,86.0
0.71248584,0.85624292,87.0
0.71928915,0.85964458,84.0
0.68503476,0.84251738,86.0
0.69619412,0.84809706,88.0
0.55357612,0.77678806,79.0
0.62358232,0.81179116,79.0
0.53562623,0.76781312,74.0
0.62811125,0.81405563,82.0
0.62530569,0.81265284,82.0
0.59870113,0.79935057,85.0
0.64744425,0.82372213,78.0
0.49279551,0.74639776,68.0
0.52152141,0.76076071,81.0
0.54527974,0.77263987,77.0
0.38611331,0.69305665,72.0
0.43338919,0.7166946,73.0
0.55826318,0.77913159,82.0
0.65673164,0.82836582,86.0
0.55123112,0.77561556,79.0
0.63268621,0.8163431,83.0
0.65272134,0.82636067,82.0
0.65272134,0.82636067,85.0
0.65272134,0.82636067,85.0
0.6179662,0.8089831,78.0
0.60328413,0.80164207,79.0
0.61200435,0.80600218,80.0
0.54241629,0.77120815,86.0
0.46064135,0.73032067,71.0
0.42836875,0.71418438,68.0
0.45836094,0.72918047,65.0
0.50363122,0.75181561,73.0
